Tên,Giá,Bảo hành,Phiên bản,Công nghệ CPU,Số lõi,Số luồng,Dung lượng RAM,Loại RAM,Số RAM onboard,Hỗ trợ RAM tối đa,Kích thước màn hình,Loại màn hình,Độ phân giải,Tấm nền,Công nghệ màn hình,Độ phủ màu,Tỷ lệ màn hình,Hãng,Model,Dung lượng SSD,Giao tiếp & Kết nối,Số loa,Công nghệ âm thanh,Mở khóa vân tay,Mật khẩu,Kiểu bàn phím,Loại đèn bàn phím,Công nghệ đèn bàn phím,Màu đèn LED,TouchPad,Loại PIN,Dung lượng PIN,Hệ điều hành,Phần mềm khác,Width x Depth x Height (mm),Trọng lượng (kg):,Chất liệu mặt bên ngoài cùng:,Chất liệu khung màn hình:,Chất liệu mặt bàn phím + kê tay:,Chất liệu mặt lưng:
Laptop MSI Modern 15 A11MU 678VN,"18,790,000₫",12 Tháng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows 10 Home,,,,,,,
Laptop Dell Inspiron 3511 P112F001BBL (Black),"19,290,000₫",12 Tháng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop Asus VivoBook Flip TM420IA EC227T,"19,490,000₫",24 tháng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop MSI Modern 15 A5M 047VN,"19,490,000₫",12 Tháng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop ASUS Vivobook A515EP BQ196T,"22,290,000₫",24 Tháng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop Dell Inspiron 3505 Y1N1T5,"19,990,000₫",12 Tháng,,,,,,,,,,,,,,,,,Inspiron 15 3505 Y1N1T5,,,,,,,,,,,,,,Win 10 Home SL 64 + Office Home & Student 2019,,,,,,,
Laptop Dell Vostro 14 3400 YX51W1,"20,490,000₫",12 Tháng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop Dell Vostro 3510 7T2YC1,"20,490,000₫",12 Tháng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAPTOP MSI Modern 14 B11MOU 460VN,"20,490,000₫",12 Tháng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows 10 Home,,,,,,,
LAPTOP MSI Modern 14 B11MO 294VN,"20,490,000₫",12 Tháng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows 10 Home,,,,,,,
Laptop Dell Vostro 14 3400 YX51W2,"20,990,000₫",12 Tháng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop ASUS Vivobook A515EP BQ196T,"22,290,000₫",24 Tháng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop MSI Modern 14 B11SBU 668VN,"22,490,000₫",12 Tháng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows 10 Home,,,,,,,
Laptop Dell Vostro 3510 (P112F002ABL),"22,790,000₫",12 Tháng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop HP Envy 13 BA1537TU 4U6P0PA,"22,890,000₫",12 Tháng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows 10 Home + Office,,,,,,,
Laptop Acer Swift 3 Evo SF314 511 59LV,"22,990,000₫",12 Tháng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows 10 Home Bản Quyền,,,,,,,
Laptop ASUS ZenBook UX425EA KI429T,"22,990,000₫",24 Tháng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows 10 Home,,,,,,,
Laptop Lenovo IdeaPad 5 Pro 16ACH6 82L50095VN,"23,990,000₫",24 Tháng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop ASUS ZenBook UX325EA KG363T,"25,290,000₫",24 Tháng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows 10 Home,,,,,,,
Laptop HP Envy 13 BA1535TU 4U6M4PA,"28,990,000₫",12 Tháng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows 10 Home + Office,,,,,,,
Laptop Asus Zenbook Duo UX482EA KA081T,"32,490,000₫",24 Tháng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows 10 Home,,,,,,,
Laptop HP Envy 13 BA1534TU 4U6M3PA,"32,490,000₫",12 Tháng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows 10 Home + Office,,,,,,,
Laptop MSI Summit E13 Flip Evo A11MT 211VN,"37,990,000₫",24 Tháng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows 10 Home,,,,,,,
Macbook Air 2020 M1 7GPU 16GB 256GB Z124000DE - Grey,"32,990,000₫",12 tháng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mac OS,,,,,,,
Macbook Air 2020 M1 7GPU 16GB 256GB Z127000DE - Silver,"32,990,000₫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,macOS,,,,,,,
Macbook Air 2020 M1 7GPU 16GB 256GB Z12A0004Z - Gold,"32,990,000₫",12 tháng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mac OS,,,,,,,
Macbook Air 2020 M1 7GPU 16GB 512GB Z124000DF - Grey,"36,990,000₫",12 tháng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mac OS,,,,,,,
Macbook Air 2020 M1 7GPU 16GB 512GB Z127000DF - Silver,"36,990,000₫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,macOS,,,,,,,
Macbook Air 2020 M1 7GPU 16GB 512GB Z12A00050 - Gold,"36,990,000₫",12 tháng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mac OS,,,,,,,
Macbook Air 2020 M1 7GPU 8GB 256GB MGN63SA/A - Grey,"26,990,000₫",12 tháng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mac OS,,,,,,,
Macbook Air 2020 M1 7GPU 8GB 256GB MGN93SA/A - Silver,"26,990,000₫",12 tháng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mac OS,,,,,,,
Macbook Air 2020 M1 7GPU 8GB 256GB MGND3SA/A - Gold,"26,990,000₫",12 tháng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mac OS,,,,,,,
Macbook Air 2020 M1 8GPU 16GB 512GB Z1250004D - Grey,"37,990,000₫",12 tháng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mac OS,,,,,,,
Macbook Air 2020 M1 8GPU 8GB 512GB MGN73SA/A - Grey,"32,490,000₫",12 tháng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mac OS,,,,,,,
