Tên sản phẩm,Thương hiệu,Nhà bán,Giá hiện tại,Công nghệ âm thanh,Thời gian pin,Bluetooth,Camera,Card đồ họa,Card Reader,Chip set,Kết nối,CPU,Kích thước,Loại/ Công nghệ màn hình,Dung lượng ổ cứng,Giao tiếp mạng,Model,Loại ổ đĩa,Loại pin,Nơi sản xuất,Ổ đĩa quang,Trọng lượng,RAM,Độ phân giải,Kích thước màn hình,Hệ điều hành,Thiết kế card,Wifi,Xuất xứ thương hiệu,Tốc độ CPU,Xuất xứ,Cổng internet (LAN),Loại RAM,Kết nối không dây khác,Cân nặng,Bus,Bộ nhớ đồ họa,Nhà sản xuất,Thời gian sạc,Hiển thị màu sắc
"Laptop Gigabyte AORUS 15P XD-73S1224GH (Core i7-11800H/ 16GB (8x2) DDR4 3200MHz/ 1TB SSD M.2 PCIE G3X4/ RTX 3070 8GB GDDR6/ 15.6 FHD IPS, 240Hz/ Win10) - Hàng Chính Hãng",Gigabyte,Tiki Trading,53990000,DTS:X Ultra,,V5.2,HD Camera,"NVIDIA GeForce RTX 3070 8GB GDDR6 Boost Clock 1560 MHz, Maximum Graphics Power 130 W",UHS-II SD Card Reader (Optional),,"1x Thunderbolt 4 (Type-C) (Optional), 3x USB 3.2 Gen1 (Type-A), 1x HDMI 2.1, 1x mini DP 1.4 1x 3.5mm Headphone/Microphone Combo Jack, 1x DC-in Jack, 1x RJ-45",Intel Core i7-11800H,357 x 244 x27 (mm),"IPS-level Anti-glare Display LCD (240Hz, 72% NTSC)",1TB SSD M.2 PCIE G3X4 (2 Slots),,,SSD,4 Cell 99 WHrs,,,2.2 kg,"16GB (8x2) DDR4 3200MHz (2x SO-DIMM socket, up to 64GB SDRAM)",Full HD (1920 x 1080),15.6 inch,Windows 10 Home,,"Intel AX201 Wireless (802.11ax, a/b/g/n/ac/ax compatible)",Đài Loan,2.3GHz up to 4.6GHz 24MB,Trung Quốc,RTL8125-BG REALTEK (2.5G) Ethernet,DDR4,,,3200MHz,,,,
Laptop HP ProBook 440 G8 2Z6J4PA (Core i7-1165G7/ 8GB(1 x 8GB) DDR4 3200Mhz/ 512GB PCIe NVMe SSD/ 14 HD/ DOS) - Hàng Chính Hãng,HP,Tiki Trading,23859000,,,Bluetooth 5 combo,720p HD camera,Intel Iris Xᵉ Graphics,1 microSD,,"2 SuperSpeed USB Type-A 5Gbps signaling rate (1 charging, 1 power); 1 SuperSpeed USB Type-C 10Gbps signaling rate (USB Power Delivery, DisplayPort 1.4); HDMI 1.4b",Intel Core i7-1165G7,32.19 x 21.39 x 1.99 cm,IPS LCD,512GB PCIe NVMe,,,SSD,"3-cell, 45 Wh",,,1.38 kg,8GB(1 x 8GB),HD (1366 x 768),14 inch,FreeDos,,Intel AX201 Wi-Fi 6 (2x2),Mỹ,"tối đa 4.70GHz, 12MB, 4 cores 8 threads",Trung Quốc,Realtek 10/100/1000 GbE NIC,DDR4,,,3200Mhz,,,,
Laptop DELL Inspiron 15 7501 X3MRY1 (Core i7-10750H/ 8GB/ 512GB SSD PCIe/ GTX 1650Ti 4GB GDDR6/ 15.6 FHD/ Win10) - Hàng Chính Hãng,Dell,Tiki Trading,29990000,Realtek High Definition Audio (Speaker : 2 x 2W),,"	 Bluetooth 5.0","	 HD Web Camera ","	 NVIDIA GEFORCE GTX 1650Ti 4GB GDDR6 ",Micro SD reader (support mSD/mSDHC/mSDXC),,"2 x USB 3.1 Gen 1 Type A ; 1 x USB Type C (port with Thunderbolt/DisplayPort/Power Delivery) ; 1 x HDMI ; 1 x Headphone/Microphone combo jack ; 1 x SSD (M.2 2280), ","	 Intel Core i7 10750H 2.6GHz, 12MB",1.89 x 35.61 x 23.45 cm (H x W x D)," @60Hz Wide View Angle (WVA), Anti glare",512GB SSD PCIe (M.2 2230) – combo M.2 2230/2280,,Inspiron 15 7501 X3MRY1,,3 Cell Int (56Wh),,,1.851 kg,8GB onboard DDR4/ 2933MHz (1 slot),Full HD (1920 x 1080),15.6 inch,Win 10 bản quyền,,"	 802.11 ax",Mỹ,,Trung Quốc,,,,,,,,,
Laptop LG Gram 2021 16Z90P-G.AH75A5 (Core i7-1165G7/ 16GB LPDDR4X/ 512GB SSD NVMe/ 16 WQXGA IPS/ Win10) - Hàng Chính Hãng,LG,Tiki Trading,48859000,HD Audio with DTS X Ultra,MobileMark 2018:  Up to 16.5 hours; MobileMark 2014:  Up to 22 hours; Video playback:  Up to 24.5 hours; JEITA 2.0:  Up to 30 hours,BT 5.1,HD Webcam with Dual Mic.,"Intel Iris Xe Graphics (i7,i5) ",UFS/ Micro SD,,"HP-Out(4Pole Headset, US type), USB 3.2 Gen2x1 (x2), HDMI,  USB 4 Gen3x2 Type C (x2, with Power Delivery, Display Port, Thunderbolt 4)","Intel 11th Generation i7(Quad Core) 'i7-1165G7 (2.8 GHz, Turbo up to 4.7 GHz, L3 Cache 12MB, 28W) - QC","
355.9 x 243.4 x 16.8 mm
14.01 x 9.58 x 0.66""
","16.0"" (40.6cm) WQXGA (2560*1600) IPS LCD, (Non-Touch), DCI-P3 99% (Typical, min 95%) ",M.2(2280) Dual SSD slots - NVME:  512GB,,,,80 Wh Li-Ion,,,"1,190g / 2.62 lbs",16GB LPDDR4X (Dual Channel),,16 inch,,,"Intel Wireless-AX201 (802.11ax, 2x2, Dual Band, BT Combo)",Hàn Quốc,,Trung Quốc,,,,,,,,,
Laptop MSI Prestige 14 Evo A11M-089VN (Core i7-1185G7/ 16GB LPDDR4X/ 512GB PCIe NVMe Gen4x4/ 14 FHD IPS/ Win10) - Hàng Chính Hãng,MSI,,27809000,Nahimic 3,,v5.1,HD type (30fps@720p),Intel Iris Xe Graphics,Micro SD,,"2 x Thunderbolt 4, 1x USB 2.0",Intel Core i7-1185G7 3.0GHz up to 4.8GHz 12MB,319 x 219 x 15.9 mm,"IPS, Anti-Glare, 100% sRGB, 300nits",512GB PCIe NVMe Gen4x4,,A11M-089VN,,3 Cell 52WHr,,,1.29 kg,16GB LPDDR4X-4267,,14 inch,Windows 10 Home,,Intel Wi-Fi 6 AX201(2x2 ax),Đài Loan,,Trung Quốc,,,,,,,,,
Apple MacBook Pro M1 2020 - 13 Inchs (8GB / 16GB - 256GB / 512GB) - Hàng Chính Hãng,Apple,,31490000,"Stereo speakers with high dynamic range, Three microphones, 3.5 mm Headphone jack",,Bluetooth 5.0 wireless technology,720p FaceTime HD camera,The 8-core GPU in M1 chip,,Apple M1,"Two Thunderbolt 3 / USB 4 ports; Support for Charging, DisplayPort, ThunderBolt (up to 40Gbps), USB 3.1 Gen 2 (up to 10 Gbps)","Apple M1 chip with 8-core CPU, 8-core GPU, and 16-core Neural Engine",1.56 cm x 30.41 cm x 21.24 cm,"LED-backlit display with IPS technology; 2560-by-1600 native resolution at 227 pixels per inch with support for millions of colors 500 nits brightness; Wide color gamut (P3), True Tone technology",256GB SSD,,Pro 2020 M1,SSD,"58.2-watt-hour lithium-polymer, 61W USB-C Power Adapter",,,1.4 kg,8GB unified memory,WQXGA (2560 x 1600),13.3 inch,MacOS,,802.11ax WI-FI 6 wireless networking; IEEE 802.11a/b/g/n/ac compatible; Bluetooth 5.0 wireless technology,Mỹ,,Trung Quốc,,,,,,,,,
Laptop Lenovo Ideapad Gaming 3 15IMH05 i7 10750H/8GB/512GB/4GB GTX1650Ti/120Hz/Win10 (81Y4013UVN) - Hàng chính hãng,Lenovo,Thế Giới Di Động Official,25990000, Dolby Audio,,Bluetooth 5.0, HD webcam, Card rời - NVIDIA GeForce GTX 1650Ti,,,Jack tai nghe 3.5 mm  2 x USB 3.2  HDMI  LAN (RJ45)  USB Type-C,Intel Core i7 Comet Lake - 10750H,,Tấm nền IPS  Chống chói Anti-Glare  250 nits,SSD 512 GB NVMe PCIeHỗ trợ khe cắm HDD SATA,,15IMH05 ,, 45 Wh,,,2.2 kg, 8 GB,,,"
Windows 10 Home SL",,Wi-Fi 6 (802.11ax),Trung Quốc,2.60 GHz Tốc độ tối đa Turbo Boost 5.0 GHz,Trung Quốc,LAN (RJ45), DDR4 (2 khe)," Bluetooth 5.0, Wi-Fi 6 (802.11ax)",,,4 GB,,,
"Laptop Lenovo Ideapad Gaming 3 15IHU6 82K100FBVN (Core i7-11370H/ 8GB DDR4-3200Hz/ RTX 3050 4GB GDDR6/ 512Gb SSD M.2 2242 PCIe NVMe/ 15.6 FHD IPS, 120Hz/ Win10) - Hàng Chính Hãng",Lenovo,Tiki Trading,26679000,"	Nahimic Audio",,v5.0,720p with Camera Shutter,"NVIDIA GeForce RTX 3050 4GB GDDR6 Boost Clock 1500 / 1740MHz, TGP 90W",,,"1x USB-C 3.2 Gen 1 (support data transfer only), 2x USB 3.2 Gen 1, 1x HDMI 2.0, 1x RJ-45, 1x headphone / microphone combo jack (3.5mm), 1x power connector",Intel Core i7-11370H 3.0GHz up to 4.8GHz 12MB,,"IPS 250nits Anti-glare, 120Hz, 45% NTSC, DC dimmer",512GB SSD M.2 2242 PCIe 3.0x4 NVMe (Còn trống 1 khe 2.5 SATA3),,82K100FBVN ,,3 Cell 45WHr,,,"	2.25 kg","	8GB (8x1) DDR4 3200MHz (2x SO-DIMM socket, up to 16GB SDRAM)",,,,,802.11AX (2x2),Trung Quốc,,Trung Quốc,"	100/1000M",,,,,,,,
Apple MacBook Air M1 2020 - 13 Inchs (8GB / 16GB - 256GB / 512GB) - Hàng Chính Hãng,Apple,Tiki Trading,27490000,,,Bluetooth 5.0 wireless technology,720p FaceTime HD camera,The 7-core GPU in M1 chip,,,"Two Thunderbolt 3 ports (USB 4) with support for: Charging, Display, ThunderBolt (up to 40 Gbps), USB-C 3.1 Gen 2 (up to 10 Gbps)",,,13.3-inch (diagonal) LED-backlit display with IPS technology; 2560-by-1600 native resolution at 227 pixels per inch with support for millions of colors 400 nits brightness; Wide color (P3); True Tone technology,256GB,,,,,,,,8GB,,,,,802.11ax Wi-Fi 6 wireless networking,Mỹ,,Trung Quốc,IEEE 802.11a/b/g/n/ac compatible,,,,,,,,
Surface Pro 7 Core I5 Ram 8Gb Ssd 256Gb Brand New - Hàng chính hãng  ( giao màu ngẫu nhiên ),Surface,NewTechShop,32890000,,,,,,,,,,,,,,,,,,,,,,,,,,Mỹ,,Mỹ,,,,,,,,,
