Tên sản phẩm,Thương hiệu,Nhà bán,Giá hiện tại,Công nghệ âm thanh,Thời gian pin,Bluetooth,Camera,Card đồ họa,Card Reader,Chip set,Kết nối,CPU,Kích thước,Loại/ Công nghệ màn hình,Dung lượng ổ cứng,Giao tiếp mạng,Model,Loại ổ đĩa,Loại pin,Nơi sản xuất,Ổ đĩa quang,Trọng lượng,RAM,Độ phân giải,Kích thước màn hình,Hệ điều hành,Thiết kế card,Wifi,Xuất xứ thương hiệu,Tốc độ CPU,Xuất xứ,Cổng internet (LAN),Loại RAM,Kết nối không dây khác,Cân nặng,Bus,Bộ nhớ đồ họa,Nhà sản xuất,Thời gian sạc,Hiển thị màu sắc
Surface Book 2 15 Inch Core I7 Ram 16Gb 512Gb (New) - Hàng chính hãng,Surface,SURFACEVIET,58000000,,,,,,,,,,,,,,,,,,,,,,,,,,Mỹ,,Mỹ,,,,,,,,,
Laptop LG Gram 2021 16ZD90P-G.AX54A5 (Core i7-1165G7/ 8GB LPDDR4X/ 512GB SSD NVMe/ 16 WQXGA IPS/ NonOS) - Hàng Chính Hãng,LG,Tiki Trading,38294000,HD Audio with DTS X Ultra,MobileMark 2018:  Up to 16.5 hours; MobileMark 2014:  Up to 22 hours; Video playback:  Up to 24.5 hours; JEITA 2.0:  Up to 30 hours,BT 5.1,HD Webcam with Dual Mic.,"Intel Iris Xe Graphics (i7,i5) ",UFS/ Micro SD,,"HP-Out(4Pole Headset, US type), USB 3.2 Gen2x1 (x2), HDMI,  USB 4 Gen3x2 Type C (x2, with Power Delivery, Display Port, Thunderbolt 4)","Intel 11th Generation i5(Quad Core) i5-1135G7 (2.4 GHz, Turbo up to 4.2 GHz, L3 Cache 8MB, 28 W) - QC","
355.9 x 243.4 x 16.8 mm
14.01 x 9.58 x 0.66""
","16.0""(40.6cm) WQXGA (2560*1600) IPS LCD, (Non-Touch), DCI-P3 99% (Typical, min 95%)",M.2(2280) Dual SSD slots - NVME:  512GB,,,,80 Wh Li-Ion,,,"1,190g / 2.62 lbs",8GB LPDDR4X (Dual Channel),,16 inch,Non-OS,,"Intel Wireless-AX201 (802.11ax, 2x2, Dual Band, BT Combo)",Hàn Quốc,,Trung Quốc,,,,,,,,,
Laptop HP Pavilion 15-eg0504TU 46M00PA (Core i7-1165G7/ 8GB DDR4 3200MHz/ 512GB PCIe NVMe M.2 SSD/ 15.6 FHD IPS/ Win10 + Office) - Hàng Chính Hãng,HP,Tiki Trading,22039000,,, Bluetooth 5 combo,HP Wide Vision 720p HD camera with integrated dual array digital microphones,,,,"1 SuperSpeed USB Type-C 10Gbps signaling rate (USB Power Delivery, DisplayPort 1.4, HP Sleep and Charge); 2 SuperSpeed USB Type-A 5Gbps signaling rate",I7-1165G7,,,Ssd 512gb,,HP Pavilion,,"3 Cell, 41WHr",,Không,1.75 kg,8GB,,,,,Realtek RTL8822CE 802.11a/b/g/n/ac (2x2) Wi-Fi,Mỹ,Up to 4.70 GHz,Trung Quốc,,DDR4,,,,,HP,,
Laptop Dell Vostro 5410 V4I5014W (I5-11300H/8GB/512GB PCIE/14.0FHD/WIN10/XÁM) - Hàng Chính Hãng,Dell,Tiki Trading,22089900,,,v5.1,,,,,,"Intel Core i5-11300H Tiger Lake 10nm SuperFin (2.6Ghz Up to 4.40 GHz, 4 Cores, 8 Threads, 8MB Cache)",17.02 mm x 321.27 mm x 212.80 mm,"Màn hình chống chói LED Backlight, WVA Display",512GB SSD NVMe,,V4I5014W,,"4 Cell Battery, 54WHr",,,1.44 kg,,,14 inch,Win 10,,Intel Wi-Fi 6 2x2 (Gig+),Mỹ,,Trung Quốc,,8GB DDR4 Buss 3200MH ( 2 khe cắm ) ,Wi-Fi / Bluetooth,,,Intel Iris Xe Graphics,,,
Laptop MSI Prestige 15 A11SCX-209VN (Core i7-1185G7/ 16GB (8GB x2) DDR4 3200MHz/ 512GB PCIe Gen4x4/ GTX 1650 4GB GDDR6 with Max-Q Design/ 15.6 FHD IPS/ Win10) - Hàng Chính Hãng,MSI,Tiki Trading,32899000,Nahimic 3,,v5.1,IR HD type (30fps@720p),NVIDIA GeForce GTX 1650 4GB GDDR6 with Max-Q Design,Micro SD Card Reader,,2x Type-C (USB4 / DP / Thunderbolt4) with PD charging; 1x (4K @ 60Hz) HDMI; 2x Type-A USB3.2 Gen2,Intel Core i7-1185G7 3.0GHz up to 4.8GHz 12MB,356.8 x 233.7 x 16.9 mm,"15.6"" FHD (1920 x 1080) IPS, 60Hz, Thin Bezel, Anti-Glare with 72% NTSC, 100% sRGB",512GB PCIe Gen4x4 (Còn trống 1 khe SSD M.2 PCIE Gen3x4),,,,4 Cell 82WHr,,,1.69 kg,"16GB (8GB x2) DDR4 3200MHz (2x SO-DIMM socket, up to 32GB SDRAM)",,15.6 inch,Windows 10 Home,,Intel Wi-Fi 6 AX201 (2x2),Đài Loan,,Trung Quốc,,,,,,,,,
"Laptop Gigabyte G7 MD-71S1223SH (Core i7-11800H/ 16GB (8x2) DDR4 3200MHz/ 512GB SSD M.2 PCIE G3X4/ RTX 3050Ti 4GB GDDR6/ 17.3 FHD IPS, 144Hz, 3ms/ Win10) - Hàng Chính Hãng",Gigabyte,Tiki Trading,31990000,DTS:X Ultra,,V5.2,HD Camera,"NVIDIA GeForce RTX 3050Ti 4GB GDDR6 Boost Clock 1500 MHz, Maximum Graphics Power 75 W",,,"1x USB 3.2 Gen 2 Type-C, 1x USB3.2 Gen1 Type-A, 1x USB3.2 Gen2 Type-A, 1x USB2.0 Type-A, 1x HDMI 2.0 (with HDCP), 1x mini DP 1.4, 1x Audio combo jack, 1x Microphone jack, 1x DC-in Jack, 1x RJ-45",Intel Core i7-11800H ,395 x 262 x 25.9 (mm),"IPS, Anti-Glare with 72% NTSC, 100% sRGB, 144Hz, 3ms, 300nits","512GB SSD M.2 PCIE G3X4 (Còn trống 1 khe SSD M.2 PCIE và 1 khe 2.5"" SATA)",,,SSD,4 Cell 48.96 WHrs,,,2.5 kg,"16GB (8x2) DDR4 3200MHz (2x SO-DIMM socket, up to 64GB SDRAM)",Full HD (1920 x 1080),17.3 inch,Windows 10 Home,,"Intel AX200 Wireless (802.11ax, a/b/g/n/ac/ax compatible)",Đài Loan,2.3GHz up to 4.6GHz 24MB,Trung Quốc,RTL8411B REALTEK (1G) Ethernet,DDR4,,,3200MHz,,,,
Laptop Dell VOS13 5310 YV5WY1 (i5-11300H/8GD4/512SSD/13.3FHD+/FP/4C54WHr/XÁM/W10SL+OFFICE  ST/LED_KB/ProSup) - Hàng Chính Hãng,Dell,Tiki Trading,21990000,Realtek High Definition Audio (speaker 2 x 2W),,Bluetooth 5.1,HD Web Camera with array dual microphone,Intel Iris Xe Graphics,N/A,,1 x USB 3.1 Gen 1 Type-A ; 1 x Thunderbolt 4 (Type-C) port with Power Delivery and DisplayPort  (primary-power port) ; 1 x Thunderbolt 4 (Type-C) port with Power Delivery and DisplayPort ; 1 x  HDMI ; 1 x Headphone/Microphone combo audio jac,11th Gen Intel Core i5-11300H Processor,"


Kích thước & Trọng lượng
1. Chiều cao: 13,9 - 15,9 mm (0,55 ""- 0,625"") | 2. Chiều rộng: 296,78 mm (11,68 "") | 3. Chiều sâu: 210 mm (8,27"") | Trọng lượng khởi điểm: 1,25 kg (2,75 lb)


",13.3ʺ inch FHD+ (1920 x 1200) Wide-Viewing Angle ; Anti-glare,512GB SSD PCIe (M.2 2230),,YV5WY1,,,,N/A,1.215 kg,8GB onboard LPDDR4,,,Windows 10 Home Single Language 64-bit + OFFICE Home and Student 2019,,802.11 ax,Mỹ,,Trung Quốc,N/A,,,,,,,,
Laptop ASUS ZenBook UX425EA-KI439T (Core i7-1165G7/ 16GB LPDDR4X 3200MHz/ 512GB SSD M.2 PCIE G3X2/ 14 FHD IPS/ Win10) - Hàng Chính Hãng,Asus,Tiki Trading,28789000,Harman Kardon,,v5.0,3D IR HD camera with Windows Hello support,Intel Iris Xe Graphics,,,"2x Thunderbolt 4 USB-C (up to 40Gbps), 1x USB 3.2 Gen 1 Type-A (up to 5Gbps), 1x Standard HDMI 2.0a",Intel Core i7-1165G7 ,31.9 x 20.8 x 1.39 (cm),"IPS, Anti-Glare, 100% sRGB, 400nits",512GB,,,SSD,4 Cell 67WHr Lithium-Polymer,,,1.17kg,16GB,Full HD (1920 x 1080),14 inch,Windows 10 Home,Tích hợp,Intel WiFi 6 with Gig+ performance (802.11ax),Đài Loan,2.8GHz up to 4.7GHz 12MB,Trung Quốc,,DDR4,,,3200MHz,Share,,,
Laptop LG Gram 2021 17Z90P-G.AH78A5 (Core i7-1165G7/ 16GB LPDDR4X/ 1TB SSD NVMe/ 17 WQXGA IPS/ Win10) - Hàng Chính Hãng,LG,Tiki Trading,52699000,HD Audio with DTS:X Ultra,,v5.1,HD Webcam with Dual Mic,Intel Iris Xe Graphics,"UFS, Micro SD",,"2x USB 3.2 Gen2, 2x USB Type-C Thunderbolt 4, 1x HDMI",Intel Core i7-1165G7,380.2 x 260.1 x 17.8 mm,"IPS, DCI-P3 99%","1TB PCIe NVMe M.2 SSD (2 slot, còn trống 1 khe M.2)",,,SSD,80WHr 10.336mAh,,,1.35 kg,16GB (8GBx2),WQXGA (2560 x 1600),17 inch,Windows 10 Home,Tích hợp,Intel Wi-Fi 6 AX201D2W,Hàn Quốc,2.8GHz up to 4.7GHz 12MB,Trung Quốc,10/100 with RJ45 Gender,LPDDR4X,,,4266MHz,,,,
"Laptop Acer Nitro 5 AN515 57 50FT i5 11400H/16GB/512GB/4GB RTX3050/15.6""F/144Hz/Balo/Win10/(NH.QD8SV.003)/Đen - Hàng chính hãng",Acer,Thế Giới Di Động Official,26490000," Acer TrueHarmony, DTS X:Ultra Audio",,Có,HD webcam, Card rời - NVIDIA GeForce RTX3050,,,Jack tai nghe 3.5 mm  3 x USB 3.2  HDMI  LAN (RJ45)  USB Type-C, Intel Core i5 Tiger Lake - 11400H,,Tấm nền IPS  LED Backlit  Acer ComfyView Tần số quét 144Hz,"SSD 512 GB NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)  Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2TB)  Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 1TB)","
Wi-Fi 6 (802.11ax), Bluetooth 5.1",AN515 57 50FT,SSD,4-cell Li-ion,,,2.2 kg,16 GB,,,"
Windows 10 Home SL",,Có,Đài Loan, 2.70 GHz Tốc độ tối đa Turbo Boost 4.5 GHz,Trung Quốc,LAN (RJ45), DDR4 2 khe (1 khe 8GB + 1 khe 8GB)," Wi-Fi 6 (802.11ax), Bluetooth 5.1",,,4 GB,,57 Wh,
"Laptop Dell Inspiron 15 3511 P112F001BBL ( Intel Core i5-1135G7, 4GB DDR4 2666MHz, 512GB M.2 PCIe NVMe SSD, 15.6"" FHD, Intel Iris Xe Graphics, BT 5.0, WLAN 802.11ac, Win10 Home SL, H&S 2019, 1Y, PremiumSupport ) Hàng Chính Hãng",Dell,Tiki Trading,18590000,,3 Cell 41WHr,BT 5.0,,Intel(R) Iris Xe Graphics,,,,"Intel Core i5-1135G7 (8MB Cache, 2.4GHz, Turbo Boost 4.2GHz)",,15.6-inch FHD (1920 x 1080) Anti-glare LED Backlight Non-Touch Narrow Border WVA Display,512GB M.2 PCIe NVMe SSD,,P112F001BBL,,3 Cell 41WHr,,,,,,,Win10 Home SL,,WLAN 802.11ac,Mỹ,,Trung Quốc,,4GB (1x4GB) DDR4 2666MHz,,,,,,,
Laptop HP Gaming VICTUS 16-e0177AX 4R0U9PA (AMD R5-5600H/ 8 GB DDR4-3200Mhz/ GTX 1650 4GB/ 512 GB PCIe NVMe M.2 SSD/ 16.1 FHD 144Hz/ Win10) - Hàng Chính Hãng,HP,Tiki Trading,21989000,Audio by B&O; Dual speakers; HP Audio Boost 1.0,,Bluetooth 5 Combo (Supporting Gigabit file transfer speeds),,"	NVIDIA GeForce GTX 1650 4GB",,,,"	AMD Ryzen 5 5600H 3.3Gnz up to 4.2Ghz, 6 core 8 thread, L2 cache 3Mb, L3 cache 16Mb",,,"	512 GB PCIe NVMe M.2 SSD",,,,"4-cell, 72 Wh Li-ion",,,2.46 kg,8 GB DDR4-3200Mhz,,16.1 inch,,,Intel Wi-Fi 6 AX 201 (2x2),Mỹ,,Trung Quốc,Integrated 10/100/1000 GbE LAN,,,,,,,,
Camera trước Oppo A5 2020 zin hãng,OEM,,149000,,,,,,,,,,,,,,,,,,,,,,,,,,Việt Nam,,Việt Nam,,,,,,,,,
Laptop Lenovo ThinkPad T490s 20NXS00200 Core i7-8565U/ Dos (14 FHD IPS) - Hàng Chính Hãng,Lenovo,CICI LAPTOP,26500000,Dolby Audio Premium,,v4.1 with vPro,720p HD,Intel UHD Graphics 620,,8565U,"2x USB 3.1, 1x USB 3.1 Gen 1 Type-C, 1x USB 3.1 Gen 2 Type-C / Intel Thunderbolt 3, HDMI, RJ-45, Finger Print",Intel Core i7,,"IPS, Anti-Glare",256GB,,,SSD M.2 PCIe NVMe,3 Cell 57WHr,,,,8GB,Full HD (1920 x 1080),14 inch,Free DOS,Tích hợp,Intel Dual Band 8265 Wireless-AC (2x2),,1.8GHz up to 4.6GHz 8MB,,Gigabit Ethernet,DDR4 2400MHz,,,,,,,
Compo tập nối ( có nhíp volum gắp trên 10d),OEM,,699000,,,,,,,,,,,,,,,,,,,,,,,,,,Việt Nam,,Việt Nam,,,,,,,,,
Laptop Gigabyte AERO 15 OLED KD-72S1623GH (Core i7-11800H/ 16GB (8x2) DDR4 3200MHz/ 512GB SSD M.2 PCIE G3X4/ RTX 3060 6GB GDDR6/ 15.6 UHD Samsung AMOLED/ Win10) - Hàng Chính Hãng,Gigabyte,Tiki Trading,49990000,DTS:X Ultra,,v5.2,"	HD Camera","NVIDIA GeForce RTX 3060 6GB GDDR6 Boost Clock 1530 MHz, Maximum Graphics Power 105 W",,,"1x Thunderbolt 4 (Type-C) (Optional), 3x USB 3.2 Gen1 (Type-A), 1x HDMI 2.1, 1x mini DP 1.4, 1x 3.5mm Headphone/Microphone Combo Jack, 1x DC-in Jack, 1x RJ-45","	Intel Core i7-11800H 2.3GHz up to 4.6GHz 24MB",356 x 250 x 19.9 (mm),"Samsung AMOLED Display (VESA DisplayHDR 400 True Black, 100% DCI-P3)",512GB SSD M.2 PCIE G3X4 (2 Slots),,KD-72S1623GH,,"	4 Cell 99 WHrs",,,2.0 kg,"	16GB (8x2) DDR4 3200MHz (2x SO-DIMM socket, up to 64GB SDRAM)",,15.6 inch,"	Windows 10 Home",,"	Intel AX201 Wireless (802.11ax, a/b/g/n/ac/ax compatible)",Đài Loan,,Trung Quốc,RTL8125-BG REALTEK (2.5G) Ethernet,,,,,6GB,,,
Laptop Lenovo Yoga Slim 7 14ITL05 82A300A6VN (Core i7-1165G7/ 8GB DDR4 3200MHz Onboard/ 512GB M.2 2280 PCIe 4.0x4 NVMe/ 14 FHD IPS/ Win10) - Hàng Chính Hãng,Lenovo,,25459000,Dolby Atmos Speaker,,v5.0,"IR & HD720p (1.0MP) camera with ToF sensor, fixed focus",Intel Iris Xe Graphics,MicroSD Card Reader,,"2x USB 3.2 Type-A Gen 1 (one always on), 2x Thunderbolt 4 / USB 4 40 Gbps (w/ the function of PD 3.0 and DP 1.4), 1x HDMI 1.4b, 1x headphone / microphone combo jack",Intel Core i7-1165G7 ,320.6 x 208.18 x 14.9mm,"IPS, 300nits, Glossy, 100% sRGB",512GB SSD M.2 2280 PCIe 3.0x4 NVMe,,,SSD,4Cell 60.7Wh,,,1.36 Kg,8GB,Full HD (1920 x 1080),14 inch,Window 10 Home,Tích hợp,Wi-Fi 6 2x2 (802.11ax),Trung Quốc,2.8GHz up to 4.7GHz 12MB,Trung Quốc,,DDR4,,,3200MHz,,,,
Laptop HP 240 G8 519A4PA (Core i3-1005G1/ 4 GB DDR4/ 256 GB SSD PCIe NVMe/ 14 FHD/ Win10) - Hàng Chính Hãng,HP,Tiki Trading,13499000,"Stereo speakers, integrated digital microphone",,Bluetooth 4.2,720p HD camera,Intel UHD Graphics for 10th Gen Intel Processors,,,"2 x USB 3.1 Gen 1 Type-A, 1 x USB 3.1 Gen 1 Type-C, 1 x HDMI 1.4, 1 headphone/microphone combo","Intel Core i3-1005G1 (4M Cache, 1.2 upto 3.4 GHz)",32.4 x 22.59 x 1.99 cm,"Narrow bezel, anti-glare, 250 nits, 45% NTSC",1 x 256 GB PCIe NVMe M.2 SSD,,,SSD,"Li-ion 3 cell, 41 Wh",,,1.47 kg,4 GB DDR4-3200 MHz RAM (1 x 4 GB),Full HD (1920 x 1080),14 inch,Windows 10 Home 64 bit,Tích hợp,Realtek 802.11a/b/g/n/ac (1x1),Mỹ,,Trung Quốc,10/100/1000 Mbps,DDR4,,,3200 MHz,Share,,,
Laptop HP Gaming VICTUS 16-e0175AX 4R0U8PA (AMD R5-5600H/ 8 GB DDR4-3200Mhz/ RTX 3050 4GB/ 512 GB PCIe NVMe M.2 SSD + 32GB SSD/ 16.1 FHD 144Hz/ Win10) - Hàng Chính Hãng,HP,,23399000,Audio by B&O; Dual speakers; HP Audio Boost 1.0,,Bluetooth 5 Combo (Supporting Gigabit file transfer speeds),HP Wide Vision HD camera with integrated dual array digital microphone,NVIDIA GeForce GTX 1650 4GB,Có,,,"AMD Ryzen 5 5600H 3.3Gnz up to 4.2Ghz, 6 core 8 thread, L2 cache 3Mb, L3 cache 16Mb",37x26x2.35cm,,512 GB PCIe NVMe M.2 SSD,,,SSD,"4-cell, 72 Wh Li-ion",,,2.46 kg,8 GB,Full HD (1920 x 1080),16.1 inch,Windows 10 Home Single Language 64,,Wi-Fi 6 AX 201 (2x2),Mỹ,,Trung Quốc,Integrated 10/100/1000 GbE LAN,DDR4,,,3200Mhz,,,,
Lenovo IdeaPad 5 14ALC05 - R7-5700U | 8GB | 512GB SSD - Hàng Chính Hãng,Lenovo,Công Nghệ TechZones,18690000,"Stereo speakers, 2W x2, Dolby Audio, High Definition (HD) Audio, Realtek ALC3287 codec, Microphone 2x, Array",,v5.0,720p with Privacy Shutter,Tích hợp,4-in-1 Card Reader,,"1x USB 3.2 Gen 1, 1x USB 3.2 Gen 1 (Always On), 1x USB-C 3.2 Gen 1 (support data transfer, Power Delivery 3.0 and DisplayPort 1.2), 1 x HDMI 1.4b","AMD Ryzen 7 5700U, 8 nhân 16 luồng, 8MB L3 Cache, 1.8 GHz lên đến 4.3GHz",,"14-inch, FHD (1920 x 1080), IPS 300nits Anti-glare, 45% NTSC",512 GB M.2 2242 PCIe 3.0x4 NVMe,"802.11ac 2x2 Wi-Fi + Bluetooth 5.0, M.2 card",14ALC05,,Lithium-ion 3 Cell 44.5Wh,,,1.39 kg,"8GB Onboard, DDR4 3200MHz",,,Windows 10 Home 64,Tích hợp,"802.11ac 2x2 Wi-Fi + Bluetooth 5.0, M.2 card",Trung Quốc,,Trung Quốc,,,,,,AMD Radeon Graphics 8 Core 1900 MHz,,,
"Laptop Gigabyte AORUS 15P KD-72S1223GH (Core i7-11800H/ 16GB (8x2) DDR4 3200MHz/ 512GB SSD M.2 PCIE G3X4/ RTX 3060 8GB GDDR6/ 15.6 FHD IPS, 240Hz/ Win10) - Hàng Chính Hãng",Gigabyte,Tiki Trading,45990000,DTS:X Ultra,,V5.2,,"NVIDIA GeForce RTX 3060 8GB GDDR6 Boost Clock 1605 MHz, Maximum Graphics Power 115 W",UHS-II SD Card Reader (Optional),,"1x Thunderbolt 4 (Type-C) (Optional), 3x USB 3.2 Gen1 (Type-A), 1x HDMI 2.1, 1x mini DP 1.4 1x 3.5mm Headphone/Microphone Combo Jack, 1x DC-in Jack, 1x RJ-45",Intel Core i7-11800H,357 x 244 x27 (mm),"IPS-level Anti-glare Display LCD (240Hz, 72% NTSC)",512GB SSD M.2 PCIE G3X4 (2 Slots),,,SSD,4 Cell 99 WHrs,,,2.2 kg,"16GB (8x2) DDR4 3200MHz (2x SO-DIMM socket, up to 64GB SDRAM)",Full HD (1920 x 1080),15.6 inch,Windows 10 Home,,"Intel AX201 Wireless (802.11ax, a/b/g/n/ac/ax compatible)",Đài Loan,2.3GHz up to 4.6GHz 24MB,Trung Quốc,RTL8125-BG REALTEK (2.5G) Ethernet,DDR4,,,3200MHz,,,,
Apple MacBook Pro 2020 M1 - 13 Inchs (Apple M1/ 16GB/ 512GB) - Hàng Chính Hãng,Apple,Thế Giới Di Động Official,44990000,"Dolby Atmos, Loa kép (2 kênh)",Khoảng 10 tiếng,Bluetooth 5.0 wireless technology,720p FaceTime HD camera,Card tích hợp - 8 nhân GPU,,,"2 x Thunderbolt 3 (USB-C), Jack tai nghe 3.5 mm", Apple M1,Ngang 30.41 x Dày 1.56 x Sâu 21.24 cm,13.3-inch (diagonal) LED-backlit display with IPS technology; 2560-by-1600 native resolution at 227 pixels per inch with support for millions of colors,512 GB,Wi-Fi 6 (802.11ax), Z11C000CH,SSD,,,,,16 GB,,13.3 inch,MacOS,,Wi-Fi 6 (802.11ax),Mỹ,,Trung Quốc,,,,,,,Apple,,
Laptop MSI Katana Gaming GF66 11UC i7 11800H/8GB/512GB/4GB RTX3050/144HzBalo/Win10 (224VN) - Hàng chính hãng,MSI,Thế Giới Di Động Official,29790000, Nahimic Audio,,Bluetooth 5.2,HD webcam, Card rời - NVIDIA GeForce RTX3050,,, Jack tai nghe 3.5 mm  2 x USB 3.2  HDMI  LAN (RJ45)  USB 2.0  USB Type-C,Intel Core i7 Tiger Lake - 11800H,,LED/ Tấm nền IPS,SSD 512 GB NVMe PCIeKhông hỗ trợ khe cắm SSD M2 mở rộng thêm,,GF66 11UC,,"3-cell Li-ion, 53 Wh",,,2.1 kg, 8 GB,,,Windows 10 Home SL,,Wi-Fi 6 (802.11ax),Đài Loan,2.30 GHz Tốc độ tối đa Turbo Boost 4.6 GHz,Trung Quốc,LAN (RJ45),DDR4 2 khe (1 khe 8GB + 1 khe rời), Bluetooth 5.2Wi-Fi 6 (802.11ax),,,4 GB,,,
LAPTOP CHROMEBOOK TOUCH (NL6D) - Hàng Chính Hãng,Intel,GIMASYS,11500000,,,,,,,,,,,,,,,,,,,,,,,,,,Singapore,,china,,,,,,,,,
Laptop Gigabyte AERO 15 OLED YD-73S1624GH (Core i7-11800H/ 16GB (8x2) DDR4 3200MHz/ 1TB SSD M.2 PCIE G3X4/ TX 3080 8GB GDDR6/ 15.6 UHD Samsung AMOLED/ Win10) - Hàng Chính Hãng,Gigabyte,Tiki Trading,76990000,"	DTS:X Ultra",,V5.2,"	HD Camera","	NVIDIA GeForce RTX 3080 8GB GDDR6 Boost Clock 1245 MHz, Maximum Graphics Power 105 W",,,"1x Thunderbolt 4 (Type-C) (Optional), 3x USB 3.2 Gen1 (Type-A), 1x HDMI 2.1, 1x mini DP 1.4, 1x 3.5mm Headphone/Microphone Combo Jack, 1x DC-in Jack, 1x RJ-45","	Intel Core i7-11800H 2.3GHz up to 4.6GHz 24MB",356 x 250 x 19.9 (mm),"Samsung AMOLED Display (VESA DisplayHDR 400 True Black, 100% DCI-P3)",1TB SSD M.2 PCIE G3X4 (2 Slots),,YD-73S1624GH ,,4 Cell 99 WHrs,,,2.0 kg,"16GB (8x2) DDR4 3200MHz (2x SO-DIMM socket, up to 64GB SDRAM)",,15.6 inch,"	Windows 10 Home",,"	Intel AX201 Wireless (802.11ax, a/b/g/n/ac/ax compatible)",Đài Loan,,Trung Quốc,RTL8125-BG REALTEK (2.5G) Ethernet,,,,,8GB,,,
Laptop HP Pavilion 15-eg0506TXi5-1135G7/8GD4/512GSSD/15.6FHD/Bạc/W10SL/2G_MX450(46M05PA)-Hàng chính hãng,HP,Máy in A0,22200000,,,,,,,,,,,,,,46M05PA,,,,,,,,,,2G_MX450,,Mỹ,,china,,,,,,,HP,,
"Laptop Gigabyte G5 MD-51S1123SH (Core i5-11400H/ 16GB (8x2) DDR4 3200MHz/ 512GB SSD M.2 PCIE G3X4/ RTX 3050Ti 4GB GDDR6/ 15.6 FHD IPS, 144Hz, 3ms/ Win10) - Hàng Chính Hãng",Gigabyte,Tiki Trading,29990000,DTS:X Ultra,,V5.2,HD Camera,"NVIDIA GeForce RTX 3050Ti 4GB GDDR6 Boost Clock 1500 MHz, Maximum Graphics Power 75 W",,,"1x USB 3.2 Gen 2 Type-C, 1x USB3.2 Gen1 Type-A, 1x USB3.2 Gen2 Type-A,1x USB2.0 Type-A, 1x HDMI 2.0 (with HDCP), 1x mini DP 1.4, 1x Audio combo jack, 1x Microphone jack, 1x DC-in Jack, 1x RJ-45",Intel Core i5-11400H,361 x 258 x 24.9 (mm),"IPS, Anti-Glare with 72% NTSC, 100% sRGB, 144Hz, 3ms, 300nits","512GB SSD M.2 PCIE G3X4 (Còn trống 1 khe SSD M.2 PCIE và 1 khe 2.5"" SATA)",,,SSD,4 Cell 48.96 WHrs,,,2.2 kg,"16GB (8x2) DDR4 3200MHz (2x SO-DIMM socket, up to 64GB SDRAM)",Full HD (1920 x 1080),15.6 inch,Windows 10 Home,,"Intel AX200 Wireless (802.11ax, a/b/g/n/ac/ax compatible)",Đài Loan,2.7GHz up to 4.5GHz 12MB,Trung Quốc,RTL8411B REALTEK (1G) Ethernet,DDR4,,,3200MHz,,,,
Laptop Dell Vostro 3400 V4I7015W (i7 1165G7/8GB/512GB/2GB MX330/Win10) - Hàng Chính Hãng,Dell,Tiki Trading,23290000,,,Bluetooth 5.0,,"Card rời - NVIDIA GeForce MX330, 2 GB",,,,Intel Core i7 Tiger Lake 1165G7,"
Kích thước & Trọng lượng


Chiều cao: 0,71 ""- 0,78"" (18,1 mm - 19,0 mm)
Chiều rộng: 12,94 ""(328,7 mm
Chiều sâu: 9,43"" (239,5 mm)
Trọng lượng khởi điểm: 1,59 kg (3,49 lb) 
","14"" Full HD (1920 x 1080) Chống chói Anti Glare",512Gb SSD NVMe,,V4I7015W,,"3-cell Li-ion, 42 Wh",,,,,,,Windows 10 Home SL,,Wi-Fi 802.11 a/b/g/n/ac,Mỹ,Tốc độ CPU:  2.80 GHz / Tốc độ tối đa:  Turbo Boost 4.7 GHz,Trung Quốc,,8GB DDR4 3200Mhz,Bluetooth 5.0 / Wi-Fi 802.11 a/b/g/n/ac,,,,,,
"Microsoft Surface Laptop 3 (Core i5-1035G7/13"") - Hàng Nhập Khẩu",Microsoft,NewTechShop,24490000,,11.5 tiếng sử dụng,5.0,"Chính: 720p HD, Windows Hello; Phụ: 10 MP, quay video Full HD",Intel Iris Plus Graphics,,,"1 x USB-C, 1 x USB-A, 3.5 mm headphone jack, 1 x Surface Connect port, Compatible with Surface Dial off-screen interaction*",Quad-core 10th Gen Intel Core i5-1035G7 Processor,308.1 x 223.27 x 14.48 mm,"PixelSense, Kính cường lực Gorilla Glass 3",128GB,,, SSD,,,,1283 g,8 GB,2256 x 1504 pixels,13 inch,Windows 10 Home,,Wi-Fi 802.11 a / b / g / n / ac,Mỹ,,Trung Quốc,, LPDDR4x RAM,,,,,,,16 triệu màu
Laptop Dell Vostro 3405 V4R53500U001W (Ryzen 5-3500U/4GB/256GB PCIE/14.0 FHD/WIN 10/ĐEN) - Hàng Chính Hãng,Dell,Tiki Trading,15990000,,,v5.0,,,,,,"AMD Ryzen 5-3500U, 2.10GHz upto 3.70GHz, 4 MB cache, 4 cores 8 threads",32.8 x 23.9 x 1.99 cm,14.0 inch FHD (1920 x 1080) Anti-Glare,256GB SSD M2 PCIe NVMe,,V4R53500U001W,,3 cell - 45Whr,,,1.64 kg,,,14 inch,Windows 10 SL,,802.11ac 1x1 WiFi,Mỹ,,Trung Quốc,,4GB DDR4 2400Mhz,Wi-Fi / Bluetooth,,,AMD Radeon Graphics,,,
