brand,cpu_type,cpu_speed,max_cpu_speed,gpu_type,ram_type,ram,ram_speed,storage,screen_size,resolution,webcam,num_sd_slot,material,os,audio_tech,bluetooth_tech,wifi_tech,weight,thickness,width,length,released,ppi,has_lightning,has_thundebolt,has_touchscreen,has_fingerprint,has_camera_lock,has_180_degree,has_face_id,has_antiglare,new_warranty,used_warranty,used_price
Acer,i5,>2.5,>4.2,NVIDIA RTX,DDR4,8.0,3200.0,512 GB,15.6,Full HD,HD,0,Nhựa,Windows,DTS,5.1,Wi-Fi 6,2.2,23.9,255.0,363.4,2021.0,141.21199808219862,1,0,0,0,0,0,0,0,12,9.5,22220000.0
Acer,i7,1.8-2.5,>4.2,NVIDIA GTX,DDR4,8.0,2933.0,512 GB,15.6,Full HD,HD,0,Nhựa,Windows,DTS,5.0,Wi-Fi 6,2.3,23.9,255.0,363.4,2020.0,141.21199808219862,1,0,0,0,0,0,0,1,12,6.0,21770000.0
Acer,R5,>2.5,3.5-4.2,NVIDIA GTX,DDR4,8.0,3200.0,512 GB,15.6,Full HD,HD,0,Nhựa,Windows,DTS,5.0,Wi-Fi 6,2.172,23.9,255.0,363.4,2020.0,141.21199808219862,1,0,0,0,0,0,0,0,12,6.0,18210000.0
Acer,R5,>2.5,3.5-4.2,NVIDIA GTX,DDR4,8.0,3200.0,512 GB,15.6,Full HD,HD,0,Nhựa,Windows,DTS,5.0,Wi-Fi 6,2.2,23.9,255.0,363.4,2021.0,141.21199808219862,1,0,0,0,0,0,0,0,12,7.5,19240000.0
Acer,i5,>2.5,>4.2,NVIDIA GTX,DDR4,16.0,3200.0,512 GB,15.6,Full HD,HD,0,Nhựa,Windows,DTS,5.1,Wi-Fi 6,2.2,23.9,255.0,363.4,2021.0,141.21199808219862,1,0,0,0,0,0,0,0,12,6.0,20580000.0
Acer,i5,>2.5,>4.2,NVIDIA RTX,DDR4,16.0,3200.0,512 GB,15.6,Full HD,HD,0,Nhựa,Windows,DTS,5.1,Wi-Fi 6,2.2,23.9,255.0,363.4,2021.0,141.21199808219862,1,0,0,0,0,0,0,0,12,9.5,22560000.0
Acer,i5,>2.5,>4.2,NVIDIA RTX,DDR4,8.0,3200.0,512 GB,15.6,Full HD,HD,0,Nhựa,Windows,DTS,5.1,Wi-Fi 6,2.2,23.9,255.0,363.4,2021.0,141.21199808219862,1,0,0,0,0,0,0,0,12,10.5,28800000.0
Acer,i7,1.8-2.5,>4.2,NVIDIA RTX,DDR4,8.0,3200.0,512 GB,15.6,Full HD,HD,0,Nhựa,Windows,DTS,5.1,Wi-Fi 6,2.2,23.9,255.0,363.4,2021.0,141.21199808219862,1,0,0,0,0,0,0,0,12,10.0,25910000.0
Acer,i7,1.8-2.5,>4.2,NVIDIA RTX,DDR4,8.0,3200.0,512 GB,15.6,Full HD,HD,0,Nhựa,Windows,DTS,5.1,Wi-Fi 6,2.2,23.9,255.0,363.4,2021.0,141.21199808219862,1,0,0,0,0,0,0,0,12,8.5,25100000.0
Acer,i7,1.8-2.5,>4.2,NVIDIA RTX,DDR4,16.0,3200.0,512 GB,15.6,> Full HD,HD,0,Nhựa + kim loại,Windows,DTS,5.1,Wi-Fi 6,2.3,22.9,255.0,363.0,2021.0,188.28266410959816,1,0,0,0,0,0,0,0,12,11.0,35270000.0
Acer,i5,<1.8,<3.5,Intel,DDR4,4.0,2400.0,256 GB,14.0,Full HD,HD,1,Nhựa,Windows,TrueHarmony,,,1.7,20.8,230.0,335.0,2018.0,157.3505121487356,0,0,1,0,0,0,0,0,12,6.0,13060000.0
Acer,i5,<1.8,<3.5,Intel,DDR4,8.0,2400.0,256 GB,13.3,Full HD,HD,1,Kim loại,Windows,TrueHarmony,4.1,Wi-Fi 5,1.56,15.9,226.0,324.0,2018.0,165.6321180513006,1,0,1,1,0,0,0,0,12,6.0,16680000.0
Acer,pentium,<1.8,<3.5,Intel,DDR4,4.0,2133.0,,14.0,Full HD,HD,1,Kim loại,Windows,TrueHarmony,5.0,Wi-Fi 5,1.3,14.95,228.0,323.0,2018.0,157.3505121487356,0,0,0,1,0,0,0,0,12,6.0,8700000.0
Acer,i5,<1.8,3.5-4.2,Intel,DDR4,8.0,2133.0,256 GB,13.3,Full HD,HD,1,Kim loại,Windows,TrueHarmony,4.0,Wi-Fi 5,1.35,15.9,214.0,308.8,2019.0,165.6321180513006,1,0,0,1,0,0,0,0,12,3.0,17700000.0
