brand,cpu_type,cpu_speed,max_cpu_speed,num_core,num_thread,cached_cpu,gpu_type,ram_type,ram,max_ram,ram_speed,storage,screen_size,resolution,scan_frequency,webcam,sd_slot,material,battery,os,audio_tech,bluetooth_tech,wifi_tech,weight,thickness,width,length,released,has_lightning,has_thundebolt,has_touchscreen,has_fingerprint,has_camera_lock,has_180_degree,has_face_id,has_antiglare,saved_percent,saved_money,new_warranty,used_warranty,new_price,used_price,ppi
Acer,i5,1.6,3.9,,,,Intel,DDR4,4.0,20.0,2400.0,1024.0,15.6,1920 x 1080,,HD,SD,Nhựa,,Windows,Stereo,4.2,Wi-Fi 5,2.0,22.45,257.5,363.4,2018.0,0,0,,0,0,0,0,0,,,12,3.0,,11060000.0,141.21199808219862
Acer,i5,1.6,3.9,,,,Intel,DDR4,4.0,20.0,2400.0,1024.0,15.6,1920 x 1080,,HD,,Nhựa,,Windows,TrueHarmony,5.0,Wi-Fi 5,1.7,17.95,250.5,363.4,2019.0,0,0,,0,0,0,0,0,,,12,6.0,,11080000.0,141.21199808219862
Acer,i5,1.6,3.4,,,,Intel,DDR4,4.0,16.0,2133.0,1024.0,14.0,1920 x 1080,,VGA,"SD
SDHC
SDXC",Nhựa,,Windows,TrueHarmony,4.0,Wi-Fi 5,1.85,23.7,248.0,343.0,2018.0,0,0,,0,0,0,0,0,,,12,6.0,,10290000.0,157.3505121487356
Acer,i7,1.8,4.0,,,,NVIDIA MX,DDR3L,4.0,16.0,2133.0,1024.0,15.6,1920 x 1080,,VGA,"SD
SDHC
SDXC",Nhựa,,Windows,TrueHarmony,4.0,Wi-Fi 5,2.23,30.4,259.0,381.6,2018.0,0,0,,0,0,0,0,0,,,12,3.0,,12390000.0,141.21199808219862
Acer,i5,2.5,4.5,,,,NVIDIA GTX,DDR4,8.0,32.0,2933.0,512.0,15.6,1920 x 1080,,HD,,Nhựa,,Windows,DTS,5.0,Wi-Fi 6,2.3,23.9,255.0,363.4,2020.0,1,0,,0,0,0,0,1,,,12,3.5,,17560000.0,141.21199808219862
Acer,i5,2.7,4.5,6.0,12.0,12.0,NVIDIA RTX,DDR4,8.0,32.0,3200.0,512.0,15.6,1920 x 1080,144.0,HD,,Nhựa,57,Windows,DTS,5.1,Wi-Fi 6,2.2,23.9,255.0,363.4,2021.0,1,0,,0,0,0,0,0,14.0,3770000.0,12,9.5,25990000.0,22220000.0,141.21199808219862
Acer,i7,2.2,5.0,8.0,16.0,16.0,NVIDIA GTX,DDR4,8.0,32.0,2933.0,512.0,15.6,1920 x 1080,144.0,HD,,Nhựa,48,Windows,DTS,5.0,Wi-Fi 6,2.3,23.9,255.0,363.4,2020.0,1,0,,0,0,0,0,1,19.0,,12,6.0,,21770000.0,141.21199808219862
Acer,R5,3.0,4.0,6.0,12.0,8.0,NVIDIA GTX,DDR4,8.0,32.0,3200.0,512.0,15.6,1920 x 1080,144.0,HD,,Nhựa,57,Windows,DTS,5.0,Wi-Fi 6,2.172,23.9,255.0,363.4,2020.0,1,0,,0,0,0,0,0,,,12,6.0,,18210000.0,141.21199808219862
Acer,R5,3.3,4.2,6.0,12.0,16.0,NVIDIA GTX,DDR4,8.0,32.0,3200.0,512.0,15.6,1920 x 1080,144.0,HD,,Nhựa,57,Windows,DTS,5.0,Wi-Fi 6,2.2,23.9,255.0,363.4,2021.0,1,0,,0,0,0,0,0,18.0,4250000.0,12,7.5,23490000.0,19240000.0,141.21199808219862
Acer,i5,3.1,4.4,4.0,8.0,8.0,NVIDIA GTX,DDR4,16.0,32.0,3200.0,512.0,15.6,1920 x 1080,144.0,HD,,Nhựa,57,Windows,DTS,5.1,Wi-Fi 6,2.2,23.9,255.0,363.4,2021.0,1,0,,0,0,0,0,0,20.0,5410000.0,12,6.0,25990000.0,20580000.0,141.21199808219862
Acer,i5,2.7,4.5,6.0,12.0,12.0,NVIDIA RTX,DDR4,16.0,32.0,3200.0,512.0,15.6,1920 x 1080,144.0,HD,,Nhựa,57,Windows,DTS,5.1,Wi-Fi 6,2.2,23.9,255.0,363.4,2021.0,1,0,,0,0,0,0,0,17.0,4930000.0,12,9.5,27490000.0,22560000.0,141.21199808219862
Acer,i5,2.7,4.5,6.0,12.0,12.0,NVIDIA RTX,DDR4,8.0,32.0,3200.0,512.0,15.6,1920 x 1080,144.0,HD,,Nhựa,57,Windows,DTS,5.1,Wi-Fi 6,2.2,23.9,255.0,363.4,2021.0,1,0,,0,0,0,0,0,12.0,4190000.0,12,10.5,32990000.0,28800000.0,141.21199808219862
Acer,i7,2.3,4.6,8.0,16.0,24.0,NVIDIA RTX,DDR4,8.0,32.0,3200.0,512.0,15.6,1920 x 1080,144.0,HD,,Nhựa,57,Windows,DTS,5.1,Wi-Fi 6,2.2,23.9,255.0,363.4,2021.0,1,0,,0,0,0,0,0,13.0,4080000.0,12,10.0,29990000.0,25910000.0,141.21199808219862
Acer,i7,2.3,4.6,8.0,16.0,24.0,NVIDIA RTX,DDR4,8.0,32.0,3200.0,512.0,15.6,1920 x 1080,144.0,HD,,Nhựa,57,Windows,DTS,5.1,Wi-Fi 6,2.2,23.9,255.0,363.4,2021.0,1,0,,0,0,0,0,0,16.0,4890000.0,12,8.5,29990000.0,25100000.0,141.21199808219862
Acer,i7,2.3,4.6,8.0,16.0,24.0,NVIDIA RTX,DDR4,16.0,32.0,3200.0,512.0,15.6,2560 x 1440,165.0,HD,,Nhựa,59,Windows,DTS,5.1,Wi-Fi 6,2.3,22.9,255.0,363.0,2021.0,1,0,,0,0,0,0,0,11.0,4720000.0,12,11.0,39990000.0,35270000.0,188.28266410959816
Acer,i5,1.6,3.4,,,,Intel,DDR4,4.0,,2400.0,256.0,14.0,1920 x 1080,,HD,SD,Nhựa,,Windows,TrueHarmony,,,1.7,20.8,230.0,335.0,2018.0,0,0,Có,0,0,0,0,0,,,12,6.0,,13060000.0,157.3505121487356
Acer,i5,1.6,3.4,,,,Intel,DDR4,8.0,,2400.0,256.0,13.3,1920 x 1080,,HD,SD,Kim loại,,Windows,TrueHarmony,4.1,Wi-Fi 5,1.56,15.9,226.0,324.0,2018.0,1,0,Có,1,0,0,0,0,22.0,,12,6.0,,16680000.0,165.6321180513006
Acer,pentium,1.1,2.7,,,,Intel,DDR4,4.0,,2133.0,,14.0,1920 x 1080,,HD,SD,Kim loại,,Windows,TrueHarmony,5.0,Wi-Fi 5,1.3,14.95,228.0,323.0,2018.0,0,0,,1,0,0,0,0,,,12,6.0,,8700000.0,157.3505121487356
